codigo,latitude,longitude,altitude,nome,estado,municipio,responsavel,ultima_att,tipo
47000,-0.65,-47.55,14,SALINÓPOLIS,PARÁ,SALINÓPOLIS,INMET,2021-06-14 00:00:00,2
47001,-0.833333,-47.5,68,MARACANÃ,PARÁ,MARACANÃ,IDESP,2005-03-29 00:00:00,2
47002,-0.6231,-47.3536,,SALINÓPOLIS,PARÁ,SALINÓPOLIS,ANA,2018-06-18 00:00:00,2
47003,-0.7375,-47.8536,,CURUÇA,PARÁ,CURUÇA,ANA,2018-06-18 00:00:00,2
47004,-0.9294,-47.0994,,PRIMAVERA,PARÁ,PRIMAVERA,ANA,2018-02-07 00:00:00,2
47005,-0.6336,-47.6583,,MARUDA,PARÁ,MARAPANIM,ANA,2017-05-17 00:00:00,2
47006,-0.7747,-47.1775,,SÃO JOÃO DE PIRABAS,PARÁ,SÃO JOÃO DE PIRABAS,ANA,2017-07-27 00:00:00,2
47007,-0.7944,-47.5997,,MAGALHÃES BARATA,PARÁ,MAGALHÃES BARATA,ANA,2017-07-27 00:00:00,2
48000,-0.7278,-48.5158,12.6,SOURE (ILHA DE MARAJÓ),PARÁ,SOURE,INMET,2019-03-21 00:00:00,2
48002,-0.9,-48.6333,7,CÂMARA,PARÁ,CACHOEIRA DO ARARI,IDESP,2006-06-09 00:00:00,2
48003,-0.55,-48.7833,8,FAZENDA TAPERA (MARAJÓ),PARÁ,SOURE,IDESP,2005-03-28 00:00:00,2
48004,-0.3333,-48.5167,8,FAZENDA LIVRAMENTO,PARÁ,SOURE,IDESP,2010-03-30 00:00:00,2
48005,-0.2,-48.9167,,MANDUBE,PARÁ,CHAVES,IDESP,2006-05-15 00:00:00,2
48006,-0.8681,-48.1103,,VIGIA,PARÁ,VIGIA,ANA,2017-05-17 00:00:00,2
49000,-0.9833,-49.95,7,ANAJÁS (ILHA DO MARAJÓ),PARÁ,ANAJÁS,IDESP,2009-01-15 00:00:00,2
49001,-0.6167,-49.1667,3,SANTA CRUZ DO ARARI (I. MARAJÓ),PARÁ,SANTA CRUZ DO ARARI,IDESP,2005-03-28 00:00:00,2
49002,-0.8167,-49.15,3,TUYUYU,PARÁ,CACHOEIRA DO ARARI,IDESP,2005-06-13 00:00:00,2
49003,-0.8333,-49.7667,8,FAZENDA SÃO SEBASTIÃO,PARÁ,PONTA DE PEDRAS,IDESP,2005-01-31 00:00:00,2
49004,-0.2167,-49.4667,8,ARAPIXI,PARÁ,CHAVES,IDESP,2010-03-30 00:00:00,2
49006,-0.25,-49.2667,8,FAZENDA CAJUEIRO (MARAJÓ),PARÁ,CHAVES,IDESP,2005-01-31 00:00:00,2
49007,-0.4,-49.9,,SANTA LUZIA,PARÁ,CHAVES,IDESP,2006-05-15 00:00:00,2
49008,-0.5333,-49.4,,FAZENDA GLÓRIA,PARÁ,SANTA CRUZ DO ARARI,IDESP,2006-05-15 00:00:00,2
49009,-0.9853,-49.9394,,ANAJÁS,PARÁ,ANAJÁS,ANA,2017-05-17 00:00:00,2
49010,-0.1656,-49.9786,,CHAVES,PARÁ,CHAVES,ANA,2019-12-17 00:00:00,2
49011,-1.0158,-48.9597,,SANTA CRUZ DO ARARI,PARÁ,SANTA CRUZ DO ARARI,ANA,2020-01-30 00:00:00,2
49012,-0.6653,-49.1711,,CACHOEIRA DO ARARI,PARÁ,CACHOEIRA DO ARARI,ANA,2018-07-06 00:00:00,2
50000,-0.15,-50,8,CHAVES,PARÁ,CHAVES,IDESP,2010-03-30 00:00:00,2
50001,-0.1,-50.3833,8,AFUÁ,PARÁ,AFUÁ,IDESP,2006-02-01 00:00:00,2
50002,-0.8,-50.7,,JUPATI,PARÁ,AFUÁ,IDESP,2006-05-15 00:00:00,2
50003,-0.1603,-50.3894,,AFUÁ,PARÁ,AFUÁ,ANA,2017-05-17 00:00:00,2
51000,-0.05,-51.1833,8,PORTO SANTANA,AMAPÁ,MACAPÁ,ICOMI,2005-01-31 00:00:00,2
51001,-0.05,-51.0667,,MACAPA,AMAPÁ,MACAPÁ,ICOMI,2010-03-30 00:00:00,2
51002,-0.3992,-51.4203,,NAVIO,AMAPÁ,MAZAGÃO,ANA,2020-01-30 00:00:00,2
51003,-0.1833,-51.8,,PANCADA,AMAPÁ,MAZAGÃO,ANA,2018-10-05 00:00:00,2
51004,-0.1806,-51.7358,,VILA DO MARACÁ,AMAPÁ,MAZAGÃO,ANA,2018-08-09 00:00:00,2
51005,-0.7947,-51.6239,,BOM JARDIM,PARÁ,GURUPÁ,ANA,2018-04-12 00:00:00,2
52000,-0.5711,-52.575,,SÃO FRANCISCO,AMAPÁ,LARANJAL DO JARÍ,ANA,2016-10-11 00:00:00,2
52001,-0.1333,-52.9333,,CARECURU,AMAPÁ,MAZAGÃO,ANA,2006-05-03 00:00:00,2
52002,-0.6,-52.6,,IRATAPURU,AMAPÁ,MAZAGÃO,ANA,2019-12-17 00:00:00,2
52003,-0.4567,-52.0775,,SÃO PEDRO,AMAPÁ,MAZAGÃO,ANA,2018-10-31 00:00:00,2
52004,-0.1392,-52.9344,95,UHE SANTO ANTÔNIO DO JARI CHAFARIZ DE CIMA,AMAPÁ,LARANJAL DO JARÍ,JARI,2015-05-06 00:00:00,2
52005,-0.5497,-52.6742,65,UHE SANTO ANTÔNIO DO JARI ITAPEUARA,AMAPÁ,LARANJAL DO JARÍ,JARI,2015-05-06 00:00:00,2
52006,-0.5572,-52.5792,44,UHE SANTO ANTÔNIO DO JARI IRATAPURU,AMAPÁ,LARANJAL DO JARÍ,JARI,2015-05-06 00:00:00,2
52007,-0.5661,-52.5214,44,UHE SANTO ANTÔNIO DO JARI MORENO,AMAPÁ,LARANJAL DO JARÍ,JARI,2015-05-06 00:00:00,2
52008,-0.6514,-52.5075,14,UHE SANTO ANTÔNIO DO JARI CACHOEIRA,AMAPÁ,LARANJAL DO JARÍ,JARI,2015-05-06 00:00:00,2
52009,-0.6619,-52.5161,25,UHE SANTO ANTÔNIO DO JARI JUSANTE,AMAPÁ,LARANJAL DO JARÍ,JARI,2015-05-06 00:00:00,2
52010,-0.8569,-52.525,,LARANJAL DO JARI,AMAPÁ,LARANJAL DO JARÍ,ANA,2016-04-12 00:00:00,2
53000,-0.4167,-53.7,,FAZENDA PAQUIRA,PARÁ,ALMEIRIM,ANA,2006-05-03 00:00:00,2
53001,-0.2139,-53.8469,,PORTO PUXURI,PARÁ,ALMEIRIM,ANA,2019-12-17 00:00:00,2
54000,-0.9667,-54.4333,,LAJEIRO,PARÁ,MONTE ALEGRE,ANA,2007-10-18 00:00:00,2
54001,-0.95,-54.9167,,SETE VARAS,PARÁ,ALENQUER,ANA,2006-05-03 00:00:00,2
54002,0.5861,-54.2086,,ALDEIA PURURÉ,PARÁ,ALMEIRIM,ANA,2017-06-14 00:00:00,2
57000,-0.6953,-57.9742,93,ALDEIA WAI-WAI,PARÁ,ORIXIMINÁ,ANA,2019-12-17 00:00:00,2
57001,-0.9978,-57.0431,,GARGANTA,PARÁ,ORIXIMINÁ,ANA,2019-12-17 00:00:00,2
59001,-0.8661,-59.6011,85,UHE PITINGA JUSANTE,AMAZONAS,PRESIDENTE FIGUEIRE,TABOCA,2015-06-24 00:00:00,2
59002,-0.585,-59.7761,128,UHE PITINGA MONTANTE,AMAZONAS,PRESIDENTE FIGUEIRE,TABOCA,2015-06-24 00:00:00,2
59003,-0.5956,-59.7772,113,UHE PITINGA SERRA,AMAZONAS,PRESIDENTE FIGUEIRE,TABOCA,2015-07-09 00:00:00,2
60000,-0.8558,-60.5219,59,BASE ALALAÚ,RORAIMA,RORAINÓPOLIS,ANA,2019-12-02 00:00:00,2
60001,-0.2275,-60.6908,,FAZENDA SÃO LUCAS,RORAIMA,SÃO LUIZ,ANA,2018-09-24 00:00:00,2
61000,-0.5067,-61.7858,,SANTA MARIA DO BOIAÇU,RORAIMA,RORAINÓPOLIS,ANA,2019-11-19 00:00:00,2
61001,-0.8731,-61.9317,,TERRA PRETA,RORAIMA,CARACARAÍ,ANA,2018-12-11 00:00:00,2
62000,-0.9711,-62.9286,30.65,BARCELOS,AMAZONAS,BARCELOS,INMET,2019-03-21 00:00:00,2
62001,-0.3011,-62.7622,,JALAUACA,AMAZONAS,BARCELOS,ANA,2006-05-03 00:00:00,2
62002,-0.9658,-62.9311,,BARCELOS,AMAZONAS,BARCELOS,ANA,2018-08-10 00:00:00,2
63000,-0.5983,-63.3978,,CUMARU,AMAZONAS,BARCELOS,ANA,2020-07-01 00:00:00,2
63001,-0.3672,-62.7753,,SAMAUMA,AMAZONAS,BARCELOS,ANA,2019-11-19 00:00:00,2
64001,-0.71,-64.7961,,SANTA MARIA DO URUBAXI,AMAZONAS,BARCELOS,ANA,2006-05-03 00:00:00,2
64002,-0.5919,-64.8256,,ACARIQUARA,AMAZONAS,SANTA IZABEL DO RIO,ANA,2019-06-11 00:00:00,2
65000,-0.42,-65.98,45,SANTA ISABEL DO RIO NEGRO,AMAZONAS,SANTA IZABEL DO RIO,INMET,2019-03-21 00:00:00,2
65001,-0.4203,-65.0153,,TAPURUQUARA,AMAZONAS,SANTA IZABEL DO RIO,ANA,2020-07-01 00:00:00,2
65002,-0.5406,-65.2122,,BACURI,AMAZONAS,SANTA IZABEL DO RIO,ANA,2020-07-01 00:00:00,2
66000,-0.2889,-66.1533,,LIVRAMENTO,AMAZONAS,SÃO GABRIEL DA CACH,ANA,2020-07-01 00:00:00,2
66001,-0.65,-66.75,,BOM JESUS DO MARIE,AMAZONAS,SÃO GABRIEL DA CACH,ANA,2006-05-03 00:00:00,2
66002,-0.2017,-66.8033,,CURICURIARI,AMAZONAS,SÃO GABRIEL DA CACH,ANA,2020-07-01 00:00:00,2
67000,-0.1253,-67.0611,79.71,SÃO GABRIEL DA CACHOEIRA,AMAZONAS,SÃO GABRIEL DA CACH,INMET,2019-03-21 00:00:00,2
67001,-0.1367,-67.0856,,SÃO GABRIEL DA CACHOEIRA,AMAZONAS,SÃO GABRIEL DA CACH,ANA,2019-07-09 00:00:00,2
67002,-0.3444,-67.5358,,TUMBIRA,AMAZONAS,SÃO GABRIEL DA CACH,ANA,2019-11-27 00:00:00,2
71000,-0.916667,-71.8,,QUINCHE,COLÔMBIA,LA PEDRERA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
72000,-0.616667,-72.9333,,PTO ZABALO,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
72001,-0.55,-72.75,,ANGOSTURAS,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
72002,-0.666667,-72.6167,,MONOCHOA,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
72003,-0.583333,-72.4333,,PTO LAS BRISAS,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
72004,-0.55,-72.1333,,AGUAZUL,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
73000,-0.533333,-73.4,,ESTRECHOS LOS,COLÔMBIA,SOLANO,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
73001,-0.4,-73.75,,PTO BELEN,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
73002,-0.616667,-73.15,,MONOS LOS,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
73003,-0.533333,-73.0167,,CUEMANI,COLÔMBIA,LETICIA,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
74000,-0.1,-74.6167,,CORDOBA,COLÔMBIA,SOLANO,IDEAM-COLÔMBIA,2009-11-25 00:00:00,2
